epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.134,1.6771,2.36945,1.8552,0.47065,0.09522,0.05884,0.02539,2.69372,7.77932,3.29941,0.00332593,0.00332593,0.0700667
2,462.764,1.61912,2.25524,1.83335,0.2284,0.30127,0.18703,0.09217,2.1262,3.89341,2.47043,0.00649444,0.00649444,0.0399018
3,683.356,1.501,2.02587,1.72605,0.4067,0.24823,0.22926,0.11902,2.0378,3.89177,2.37715,0.00949796,0.00949796,0.00957203
4,902.728,1.4468,1.89336,1.66853,0.50589,0.44094,0.44011,0.26928,1.52416,2.08442,1.83931,0.0092575,0.0092575,0.0092575
5,1122.42,1.38159,1.75848,1.61618,0.59417,0.5299,0.54654,0.33995,1.40826,1.68825,1.7111,0.00901,0.00901,0.00901
6,1342.69,1.31008,1.62109,1.55709,0.67521,0.56875,0.63878,0.43269,1.24756,1.45163,1.57803,0.0087625,0.0087625,0.0087625
7,1562.55,1.27076,1.5489,1.53013,0.72625,0.59586,0.68028,0.48073,1.18522,1.36264,1.50253,0.008515,0.008515,0.008515
8,1782.35,1.22987,1.47335,1.49899,0.60108,0.57796,0.62331,0.42849,1.2087,1.46559,1.51811,0.0082675,0.0082675,0.0082675
9,2002.03,1.19712,1.40422,1.46603,0.73613,0.6295,0.70266,0.50342,1.11346,1.20104,1.43066,0.00802,0.00802,0.00802
10,2221.95,1.16685,1.33874,1.44574,0.75293,0.64642,0.7246,0.53093,1.06643,1.1391,1.40656,0.0077725,0.0077725,0.0077725
11,2442.11,1.14122,1.29292,1.41959,0.74203,0.64086,0.72868,0.53908,1.03458,1.19303,1.37211,0.007525,0.007525,0.007525
12,2661.4,1.11657,1.25021,1.40608,0.79804,0.68882,0.77622,0.58115,1.00862,1.00712,1.34679,0.0072775,0.0072775,0.0072775
13,2881.02,1.10833,1.21922,1.39696,0.80638,0.70498,0.77985,0.59077,0.99076,0.9892,1.3379,0.00703,0.00703,0.00703
14,3100.91,1.0783,1.17247,1.37261,0.80709,0.7388,0.80958,0.61671,0.96373,0.89037,1.30315,0.0067825,0.0067825,0.0067825
15,3319.93,1.05951,1.13864,1.3573,0.84495,0.7532,0.83454,0.64669,0.91988,0.83735,1.26623,0.006535,0.006535,0.006535
16,3539.52,1.04254,1.0977,1.34498,0.82654,0.74449,0.82961,0.63995,0.91267,0.85807,1.25791,0.0062875,0.0062875,0.0062875
17,3758.67,1.03088,1.08387,1.3376,0.87853,0.76924,0.84389,0.66436,0.88149,0.76962,1.23152,0.00604,0.00604,0.00604
